pica_p	pica_p_uf	marc21
046N	$a	511 $a
046P	$T	880 $6
046P	$U	880 $6
046P	$a	515 $a
046X	$T	880 $6
046X	$U	880 $6
046X	$c	583 $c
046X	$z	583 $z
046X	$a	583 $a850 $a
037H	$T	880 $6
037H	$U	880 $6
037H	$a	256 $a
048H	$a	538 $a
039H	$9	775 $w(DE-627)
039H	$6	775 $o $w $x $z
039H	$7	775 $w(DE-600)
039H	$C	775 $w(Sigel)
039H	$T	880 $6
039H	$U	880 $6
039H	$a	775 $a
039H	$d	775 $d
039H	$e	775 $d
039H	$f	775 $d
039H	$g	775 $b
039H	$h	775 $h
039H	$l	775 $a
039H	$n	775 $n
039H	$p	775 $g
039H	$t	775 $t
039H	$i	775 $i
039I	$9	776 $w(DE-627)
039I	$6	776 $o $w $x $z
039I	$7	776 $w(DE-600)
039I	$C	776 $w(Sigel)
039I	$T	880 $6
039I	$U	880 $6
039I	$a	776 $a
039I	$d	776 $d
039I	$e	776 $d
039I	$f	776 $d
039I	$g	776 $b
039I	$h	776 $h
039I	$l	776 $a
039I	$n	776 $n
039I	$p	776 $g
039I	$t	776 $t
039I	$i	776 $i
037K	$a	290 $a
037L	$a	290 $b
037M	$a	935 $m
037N	$b	563 $a
037N	$c	589 $c
037N	$d	589 $d
037N	$e	583 $a
037N	$a	340 $a
037O	$b	581 $a
037O	$c	581 $a
037O	$a	581 $a
037P	$e	562 $b
037P	$m	562 $a
037P	$p	561 $a
037P	$s	562 $b
037Q	$5	563 $5
237A	$a	852 $z
220B	$a	866 $x
220C	$a	583 $a
220A	$b	562 $b936 $b
220A	$k	562 $c936 $k
220A	$p	561 $a936 $p
220A	$a	562 $a936 $a
220T	$9	936 $0(DE-627)
220T	$d	936 $d
220T	$k	936 $k
220T	$t	936 $t
017C	$3	856 $3
017C	$4	856 $z
017C	$m	856 $m
017C	$n	856 $n
017C	$q	856 $q
017C	$t	856 $t
017C	$v	856 $v
017C	$x	856 $x
017C	$y	856 $y
017C	$z	856 $z
017C	$u	856 $u
017K	$b	912 $b
017K	$c	912 $b
017K	$d	912 $b
017K	$a	912 $a
017L	$b	912 $b
017L	$c	912 $b
017L	$d	912 $b
017L	$a	912 $a
045F	$A	082 $q
045F	$e	082 $2
045F	$a	082 $a
045B/00	$a	084 $a $2asb
045B/01	$a	084 $a $2ssd
