DE-Y7;Bibliothek des Deutschen Forums für Kunstgeschichte Paris
DE-Y2;Bibliotheca Hertziana, Max-Planck-Institut für Kunstgeschichte Rom
DE-M507;Städtische Galerie im Lenbachhaus und Kunstbau München, Bibliothek
DE-M507a;Städtische Galerie im Lenbachhaus München, Kubin-Archiv
DE-M157;Landesamt für Denkmalpflege München
DE-M5;Landesanstalt für Landwirtschaft Freising
DE-Aug7;Bayerisches Landesamt für Umwelt Augsburg
DE-2174;Landesamt für Digitalisierung, Breitband und Vermessung, Bibliothek
DE-M490;Bayerisches Landesamt für Umwelt Hof
DE-Er8;Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit
DE-N26;Landeskirchliches Archiv der Evangelisch-Lutherischen Kirche in Bayern
DE-Srb2;Literaturarchiv Sulzbach-Rosenberg
DE-Veh1;Bayerische Landesanstalt für Weinbau und Gartenbau
DE-M123;Bayerisches Arbeitsministerium München
DE-Bb24;Metropolitankapitel Bamberg
DE-M457;Collegium Carolinum München
DE-M56;Bayerisches Finanzministerium München
DE-M350;Museum Fünf Kontinente, Bibliothek
DE-B220;Bibliothek der Monumenta Germaniae Historica München
DE-2075;Bayerisches Staatsministerium für Gesundheit und Pflege, Bibliothek
DE-M29;Bibliothek der Hochschule für Musik und Theater München
DE-M25;Bayerisches Innenministerium München
DE-M39;Bayerisches Justizministerium München
DE-Ig3;Bibliothek des Museums für Konkrete Kunst
DE-M111;Metropolitankapitel München und Archiv des Erzbistums München und Freising (AEM), Bibliothek
DE-M120;Bayerisches Landwirtschaftsministerium München
DE-Ig2;Deutsches Medizinhistorisches Museum Ingolstadt
DE-364;Martin-Opitz-Bibliothek
DE-M335;Staatsarchiv München
DE-M508;Münchner Stadtmuseum / Bibliothek
DE-Re10;Museen der Stadt Regensburg
DE-M489;Bayerisches Staatsministerium für Umwelt und Verbraucherschutz, Bibliothek
DE-M121;Bayerisches Kultusministerium München
DE-M122;Bayerisches Staatsministerium für Wirtschaft, Landesentwicklung und Energie / Bibliothek
DE-Nbu1;Stadtarchiv Neuburg a.d.Donau
DE-1259;Bibliothek der Hochschule für Musik Nürnberg
DE-2533;Naturkundemuseum Potsdam, Bibliothek
DE-N27;Staatsarchiv Nürnberg, Amtsbücherei
DE-M513;NS-Dokumentationszentrum München
DE-M493;Die Neue Sammlung München
DE-Grf2;Wissenschaftliche Fach- und Besucherbibliotheken der Nationalparkverwaltung Bayerischer Wald
DE-M487;Oberste Baubehörde München
DE-Bb22;Oberlandesgericht Bamberg
DE-M516;Bibliothek des Bayerischen Obersten Rechnungshofs
DE-Bb23;Priesterseminar Bamberg
DE-2552;Potsdam Museum - Forum für Geschichte und Kunst, Bibliothek
DE-Aug12;Bistumsgeschichtliche Bibliothek
DE-2317;Priesterseminar der Diözese Augsburg, Bibliothek
DE-2318;Kapitelbibliotheken der Diözese Augsburg
DE-2319;Joseph Bernhart Bibliothek
DE-2461;Bibliothek des Priesterseminars Regensburg
DE-Hf1;Stadtarchiv Hof
DE-2153;Bibliothek des Religionspädagogischen Seminars Augsburg
DE-Gp1;Richard-Strauss-Institut Garmisch-Partenkirchen
DE-Aug8;Staatsarchiv Augsburg
DE-Er95;Stadtarchiv Erlangen, Bibliothek
DE-226;Stadtarchiv und Stadtbibliothek Fürth
DE-Bb25;Staatsarchiv Bamberg
DE-Lsh1;Staatsarchiv Landshut
DE-Re8;Stadtarchiv Regensburg
DE-M54;Historischer Verein von Oberbayern
DE-481;Staatsarchiv Würzburg
DE-Cb2;Staatsarchiv Coburg
DE-M158;Bayerisches Landesamt für Statistik
DE-B1595;Stiftung Flucht, Vertreibung, Versöhnung, Bibliothek
DE-M341;Bayerische Staatsgemäldesammlung München
DE-Re6;Sudetendeutsches Musikinstitut, Bibliothek
DE-M21;Bibliothek der Staatlichen Münzsammlung München
DE-Srb1;Stadtarchiv Sulzbach-Rosenberg
DE-906;Stadtbücherei Ebern
DE-M28;Landeshauptstadt München, Statistisches Amt, Amtsbibliothek
DE-284;Stadtbücherei Würzburg
DE-M514;Bibliothek der Sudetendeutsche Akademie der Wissenschaften und Künste
DE-2609;Ukrainische Freie Universität München, Bibliothek
DE-M494;Bibliothek des Ungarischen Instituts im Wissenschaftszentrum Ost- und Südosteuropa
DE-Ans2;Verwaltungsgericht Ansbach
DE-N25;Stadt Nürnberg, Rechtsamt, Verwaltungsbibliothek
DE-Aug13;Verwaltungsgericht Augsburg
DE-Bh4;Verwaltungsgericht Bayreuth
DE-M506;Verwaltungsgerichtshof München
DE-M510;Verwaltungsgericht München
DE-Re11;Verwaltungsgericht Regensburg, Bibliothek
DE-W93;Verwaltungsgericht Würzburg
DE-M458;Münchner Stadtmuseum / von Parish Kostümbibliothek
DE-W89;Bibliothek der Hochschule für Musik Würzburg
DE-235;Wissenschaftliche Stadtbibliothek Ingolstadt
